vehicle_id,vin_number,vehicle_model_code,dealer_id,customer_id,request_id,delivery_date,status
VEH_001,LJT1234567890VIN1,LEXUS_RX350,DEALER_LEXUS_SG,CUST_001,REQ-20260601-001,2026-06-03,COMPLETED
VEH_002,LJT1234567890VIN2,LEXUS_ES250,DEALER_TOYOTA_BENTHANH,CUST_002,REQ-20260601-002,2026-06-03,COMPLETED
VEH_003,LJT1234567890VIN3,TOYOTA_CAMRY,,CUST_003,REQ-20260602-001,2026-06-04,COMPLETED
VEH_004,LJT1234567890VIN4,BENZ_C300,DEALER_MERCEDES_HAXECO,CUST_004,REQ-20260602-002,2026-06-04,COMPLETED
VEH_005,LJT1234567890VIN5,LEXUS_NX350,DEALER_BMW_PHUMYHUNG,CUST_005,REQ-20260603-001,2026-06-05,PENDING
VEH_006,LJT1234567890VIN6,TOYOTA_FORTUNER,,CUST_006,REQ-20260603-002,2026-06-05,COMPLETED
VEH_007,LJT1234567890VIN7,LEXUS_LX600,DEALER_LEXUS_SG,CUST_007,REQ-20260603-003,2026-06-06,PENDING
VEH_008,LJT1234567890VIN8,BMW_X5,DEALER_AUDI_Q1,CUST_008,REQ-20260603-004,2026-06-06,COMPLETED
VEH_009,LJT1234567890VIN9,BENZ_GLC300,,CUST_009,REQ-20260603-005,2026-06-07,COMPLETED
VEH_010,LJT1234567890VIN10,LEXUS_LM500H,DEALER_TOYOTA_BENTHANH,CUST_010,REQ-20260603-006,2026-06-07,PENDING
